np_type	FBbt_id	FBbt_name	pub	comment	notes	notes_2
ORN_VC3m	FBbt:00007386	adult olfactory receptor neuron			specificity	
ORN_VC4	FBbt:00067027	adult olfactory receptor neuron Or67c			assuming 1 ORN per glomerulus	
ORN_VC5	FBbt:00110015	adult olfactory receptor neuron Ir41a			assuming 1 ORN per glomerulus	
ORN_VL1	FBbt:00047054	adult olfactory receptor neuron Ir75d			assuming 1 ORN per glomerulus	
ORN_VL2a	FBbt:00110007	adult olfactory receptor neuron Ir84a			assuming 1 ORN per glomerulus	
ORN_VL2p	FBbt:00110010	adult olfactory receptor neuron Ir31a			assuming 1 ORN per glomerulus	
ORN_VM1	FBbt:00110012	adult olfactory receptor neuron Ir92a			assuming 1 ORN per glomerulus	
ORN_VM2	FBbt:00067050	adult olfactory receptor neuron Or43b			assuming 1 ORN per glomerulus	
ORN_VM3	FBbt:00067009	adult olfactory receptor neuron Or9a			assuming 1 ORN per glomerulus	
ORN_VM4	FBbt:00110018	adult olfactory receptor neuron Ir76a			assuming 1 ORN per glomerulus	
ORN_VM5d	FBbt:00007389	adult olfactory receptor neuron Or85b/98b			assuming 1 ORN per glomerulus	
ORN_VM5v	FBbt:00067062	adult olfactory receptor neuron Or98a			assuming 1 ORN per glomerulus	
